sample_name	sample_name_original	sample_type	collection_timestamp	country	depth_sample	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_pi_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	empo_salinity	empo_v2_2	empo_v2_3a	empo_v2_3b	empo_v2_4a	empo_v2_4b	empo_4	env_biome	env_feature	env_material	env_package	geo_loc_name	host_subject_id	host_scientific_name	latitude	longitude	project_name	scientific_name
13114.angenent.65.s001	Angenent65.misc.104	bioreactor sludge	08/09/2011 0:00	USA - New York	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.104	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome
13114.angenent.65.s002	Angenent65.misc.519	bioreactor sludge	9/27/12 0:00	USA - New York	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.519	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome
13114.angenent.65.s003	Angenent65.misc.946	bioreactor sludge	11/28/13 0:00	USA - New York	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.104	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome
13114.angenent.65.s004	Angenent65.misc.1022	bioreactor sludge	02/12/2014 0:00	USA - New York	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.519	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome
13114.angenent.65.s005	Angenent65.misc.1538	bioreactor sludge	7/13/15 0:00	USA - New York	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1538	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome
13114.angenent.65.s006	Angenent65.misc.1622	bioreactor sludge	10/05/2015 0:00	USA - New York	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1622	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome
13114.angenent.65.s007	Angenent65.misc.1722	bioreactor sludge	1/13/15 0:00	USA - New York	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1722	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome
13114.angenent.65.s008	Angenent65.misc.1818	bioreactor sludge	4/18/16 0:00	USA - New York	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1538	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome
13114.angenent.65.s009	Angenent65.misc.1888	bioreactor sludge	6/27/16 0:00	USA - New York	not applicable	Corn Beer Fermentation Bioreactor Biomass	123	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	Non-saline	Host-associated (non-saline)	Animal (non-saline)	Animal (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.1622	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome
13114.berry.2.s001	Berry2.sediment.Do5	sediment	8/13/02 0:00	USA - Massachusetts	0.05	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Sediment (non-saline)	Sediment (non-saline)	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do5	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome
13114.berry.2.s002	Berry2.sediment.Do15	sediment	8/13/02 0:00	USA - Massachusetts	0.15	Freshwater sediment core slice from Doe Pond MA.  Aseptically collected subsample.	75.6	Berry	2	Berry2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Sediment (non-saline)	Sediment (non-saline)	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	United States of America:State of Massachusetts:Hampden County	Do15	not applicable	42.17566	-72.7	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome
