sample_name	sample_name_original	sample_type	collection_timestamp	country	depth_sample	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_pi_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	empo_salinity	empo_v2_2	empo_v2_3a	empo_v2_3b	empo_v2_4a	empo_v2_4b	empo_4	env_biome	env_feature	env_material	env_package	geo_loc_name	host_subject_id	host_scientific_name	latitude	longitude	project_name	scientific_name
13114.jensen.43.s012	Jensen43.MX12.189	sediment	07/02/2012	Mexico	15	Jensen43.sediment.11	0.0	Jensen	43	Jensen43	Ocean sediments	EMP sample	Free-living	Saline	Sediment (saline)	Saline	Free-living (saline)	Free-living (saline)	Solid (saline)	Sediment (saline)	Sediment (saline)	Sediment (saline)	marine benthic biome	marine subtidal rocky reef	marine sediment	sediment	Atlantic Ocean:Northwest Atlantic Ocean:Mexican Yucatan	MX12-189	not applicable	21.02361	-86.77158	Jensen sediments from global ocean	marine sediment metagenome
13114.jensen.43.s013	Jensen43.MX12.213	sediment	07/04/2012	Mexico	15	Jensen43.sediment.12	0.0	Jensen	43	Jensen43	Ocean sediments	EMP sample	Free-living	Saline	Sediment (saline)	Saline	Free-living (saline)	Free-living (saline)	Solid (saline)	Sediment (saline)	Sediment (saline)	Sediment (saline)	marine benthic biome	marine reef	marine sediment	sediment	Atlantic Ocean:Northwest Atlantic Ocean:Mexican Yucatan	MX12-213	not applicable	20.33194	-87.02712	Jensen sediments from global ocean	marine sediment metagenome
13114.jensen.43.s014	Jensen43.MX12.236	sediment	07/05/2010	Mexico	15	Jensen43.sediment.14	0.0	Jensen	43	Jensen43	Ocean sediments	EMP sample	Free-living	Saline	Sediment (saline)	Saline	Free-living (saline)	Free-living (saline)	Solid (saline)	Sediment (saline)	Sediment (saline)	Sediment (saline)	marine benthic biome	marine reef	marine sediment	sediment	Atlantic Ocean:Northwest Atlantic Ocean:Mexican Yucatan	MX12-236	not applicable	18.75917	-87.34052	Jensen sediments from global ocean	marine sediment metagenome
13114.pinto.62.s001	Pinto62.excavatedsoil.1	soil	5/21/16 0:00	Costa Rica	0	Soil excavated by the ants	1172.0	Pinto	62	Pinto62	Costa Rican leaf-cutter ant soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	tropical broadleaf forest biome	insecta-associated habitat	soil	soil	Costa Rica	excavated soil.1	Atta cephalotes	10.42936	-84.00939	Pinto insects from Costa Rica: bees, leaf-cutter ants	soil metagenome
13114.pinto.62.s002	Pinto62.undisturbedsoil.1	soil	5/21/16 0:00	Costa Rica	0	Soil not associated with the ant nest	1172.0	Pinto	62	Pinto62	Costa Rican leaf-cutter ant soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	tropical broadleaf forest biome	insecta-associated habitat	soil	soil	Costa Rica	undisturbedsoil.1	Atta cephalotes	10.42936	-84.00939	Pinto insects from Costa Rica: bees, leaf-cutter ants	soil metagenome
13114.pinto.62.s003	Pinto62.bottonchambersoil.1	soil	5/21/16 0:00	Costa Rica	0.3	Soil from chamber directly in contact with Botton of garden	1172.0	Pinto	62	Pinto62	Costa Rican leaf-cutter ant soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	tropical broadleaf forest biome	insecta-associated habitat	soil	soil	Costa Rica	bottonchambersoil.1	Atta cephalotes	10.42936	-84.00939	Pinto insects from Costa Rica: bees, leaf-cutter ants	soil metagenome
13114.pinto.62.s004	Pinto62.sidechambersoil.1	soil	5/21/16 0:00	Costa Rica	0.3	Soil from the side of the garden chamber	1172.0	Pinto	62	Pinto62	Costa Rican leaf-cutter ant soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	tropical broadleaf forest biome	insecta-associated habitat	soil	soil	Costa Rica	sidechambersoil.1	Atta cephalotes	10.42936	-84.00939	Pinto insects from Costa Rica: bees, leaf-cutter ants	soil metagenome
13114.pinto.62.s005	Pinto62.excavatedsoil.2	soil	5/21/16 0:00	Costa Rica	0	Soil excavated by the ants	1172.0	Pinto	62	Pinto62	Costa Rican leaf-cutter ant soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	tropical broadleaf forest biome	insecta-associated habitat	soil	soil	Costa Rica	excavated soil.2	Atta cephalotes	10.42727	-84.00228	Pinto insects from Costa Rica: bees, leaf-cutter ants	soil metagenome
13114.pinto.62.s006	Pinto62.undisturbedsoil.2	soil	5/21/16 0:00	Costa Rica	0	Soil not associated with the ant nest	1172.0	Pinto	62	Pinto62	Costa Rican leaf-cutter ant soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	tropical broadleaf forest biome	insecta-associated habitat	soil	soil	Costa Rica	undisturbedsoil.2	Atta cephalotes	10.42727	-84.00228	Pinto insects from Costa Rica: bees, leaf-cutter ants	soil metagenome
13114.pinto.62.s007	Pinto62.bottonchambersoil.2	soil	5/21/16 0:00	Costa Rica	0.3	Soil from chamber directly in contact with Botton of garden	1172.0	Pinto	62	Pinto62	Costa Rican leaf-cutter ant soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	tropical broadleaf forest biome	insecta-associated habitat	soil	soil	Costa Rica	bottonchambersoil.2	Atta cephalotes	10.42727	-84.00228	Pinto insects from Costa Rica: bees, leaf-cutter ants	soil metagenome
